Sat. Nov. 17, 2012             LANDSAT 5                 Time: 15:16
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L5217831            Path/Row: 170 / 072

L0R Reference Image: L51XXX1084366071600_HDF.123222104
Acquisition Date: Dec 31, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
170   072   2000-09-30


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1700720160  -16.760492   30.824370  1339.821       0.801    -1.616     1.014    -1.487
1700720164  -17.827141   31.048349  1506.753      -3.491    -3.477    -2.977    -3.912
1700720165  -17.852463   31.087413  1499.670      -0.358     1.044    -0.496     0.984
1700720169  -17.865904   30.074259  1085.460      -5.006     6.938    -5.901     6.183
1700720170  -16.867646   30.637385  1172.810      -1.519    -4.137    -0.934    -4.301
1700720172  -16.534264   30.493708  1072.504       0.707     3.106     0.271     3.170
1700720173  -17.619100   30.421243  1419.184       1.087     6.939     0.127     7.011
1700720176  -17.139788   31.195784  1227.508       3.137     6.105     2.264     6.466
1700720179  -16.757340   30.410930  1059.955       4.444     0.644     4.308     1.249
1700720182  -17.416959   30.483651  1235.287       4.849    -0.690     4.891    -0.019
1700720184  -16.770590   30.162139  1162.747       3.773    -0.396     3.787     0.128
1700720186  -17.759779   31.088683  1540.544       2.898     1.846     2.612     2.219
1700720189  -16.577810   30.697719  1170.426       0.079     2.756    -0.301     2.737
1700720194  -16.663497   30.447334   861.951      -3.227    -1.785    -2.947    -2.211
1700720196  -18.199784   31.019570  1365.811      -0.571     2.186    -0.862     2.084
1700720201  -16.929788   30.097283  1125.426      -6.249     1.656    -6.410     0.779
1700720206  -16.631134   30.459849  1059.074      -2.039    -0.003    -2.017    -0.284
1700720211  -17.696462   30.156715  1252.913      -1.047     0.039    -1.041    -0.105
1700720212  -17.424025   30.359648  1239.958      -3.075     6.226    -3.894     5.738
1700720213  -17.122323   30.800475  1499.935      -2.773    -0.549    -2.666    -0.922
1700720219  -16.950429   30.696046  1261.633       4.146    -0.767     4.206    -0.189
1700720220  -17.843765   31.112693  1520.362       0.068     1.199    -0.097     1.195
1700720224  -17.792495   31.194436  1578.619      -2.108     0.677    -2.176     0.382
1700720228  -16.896051   31.072261  1282.759       1.398     0.592     1.300     0.777
1700720233  -17.834923   31.067790  1475.652       3.722    -0.247     3.712     0.263
1700720235  -16.651983   30.665910  1109.322      -1.068    -1.158    -0.897    -1.292
1700720236  -17.889581   31.004923  1429.869       2.814     2.679     2.417     3.031
1700720238  -17.004238   30.569211  1140.516       5.925    -1.372     6.050    -0.544
1700720239  -17.584842   30.100001  1200.760       5.147     5.808     4.300     6.451
1700720242  -16.939663   31.187565  1102.258      -5.470     3.517    -5.893     2.727
1700720245  -18.019638   30.427934  1250.271      -0.519     2.234    -0.818     2.140
1700720246  -17.562303   30.114763  1230.876       0.713     0.472     0.641     0.564
1700720251  -16.702969   30.923456  1404.787       1.154    -2.394     1.470    -2.208
1700720252  -16.918486   30.559054  1034.291       0.006     4.083    -0.555     4.040
1700720253  -17.608955   31.190617  1494.032       0.180    -1.485     0.380    -1.443
